Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Heidenheim,Mainz 05,0.9,1.4,1,1
Augsburg,Stuttgart,0.6,1.9,0,1
Köln,Union Berlin,3.1,1.6,3,2
Freiburg,Heidenheim,1.5,0.7,1,1
Gladbach,Eint Frankfurt,0.4,1.5,1,1
RB Leipzig,Werder Bremen,1.4,1.1,1,1
Mainz 05,Dortmund,2.1,0.4,3,0
Darmstadt 98,Hoffenheim,0.6,3.3,0,6
Bayern Munich,Wolfsburg,0.3,0.2,2,0
Bochum,Leverkusen,0.3,4.2,0,5
Union Berlin,Freiburg,2.3,1.0,2,1
Werder Bremen,Bochum,3.0,2.1,4,1
Dortmund,Darmstadt 98,2.6,0.3,4,0
Stuttgart,Gladbach,1.6,1.3,4,0
Hoffenheim,Bayern Munich,1.8,1.5,4,2
Wolfsburg,Mainz 05,0.8,1.8,1,3
Leverkusen,Augsburg,2.4,1.2,2,1
Heidenheim,Köln,1.0,2.3,4,1
Eint Frankfurt,RB Leipzig,2.1,1.6,2,2
